ppt_id,dev_id,month,stream,perfect,nan,unclear,total_rows,total_dupes
mgh016,2KNY31121Q,20190801_20190831,temp,0,0,0,416893,0
mgh024,2KPY31117W,20190801_20190831,acc,0,0,0,26287175,0
mgh024,2KPY31117W,20190801_20190831,eda,0,0,0,3235999,0
mgh024,2KPY31117W,20190801_20190831,temp,0,0,0,809018,0
mgh026,2KPY31116L,20190801_20190831,acc,0,0,0,79865941,0
mgh026,2KPY31116L,20190801_20190831,eda,0,0,0,9752709,0
mgh026,2KPY31116L,20190801_20190831,temp,0,0,0,2438227,0
mgh027,2KPY311188,20190801_20190831,acc,0,0,0,81237733,0
mgh027,2KPY311188,20190801_20190831,eda,0,0,0,10000660,0
mgh027,2KPY311188,20190801_20190831,temp,0,0,0,2500229,0
mgh028,2KPY311174,20190801_20190831,acc,0,0,0,53503858,0
mgh028,2KPY311174,20190801_20190831,eda,0,0,0,6548131,0
mgh028,2KPY311174,20190801_20190831,temp,0,0,0,1637079,0
mgh029,2KPY31117Y,20190801_20190831,acc,0,0,0,59665531,0
mgh029,2KPY31117Y,20190801_20190831,eda,0,0,0,7449682,0
mgh029,2KPY31117Y,20190801_20190831,temp,0,0,0,1862466,0
mgh030,2KNY3111L9,20190801_20190831,acc,0,0,0,16452103,0
mgh030,2KNY3111L9,20190801_20190831,eda,0,0,0,2049363,0
mgh030,2KNY3111L9,20190801_20190831,temp,0,0,0,512360,0
mgh032,2KPY31117T,20190801_20190831,acc,0,0,0,50638510,0
mgh032,2KPY31117T,20190801_20190831,eda,0,0,0,6302025,0
mgh032,2KPY31117T,20190801_20190831,temp,0,0,0,1575530,0
mgh035,2KPY311187,20190801_20190831,acc,0,0,0,18483919,0
mgh035,2KPY311187,20190801_20190831,eda,0,0,0,2321629,0
mgh035,2KPY311187,20190801_20190831,temp,0,0,0,580419,0
mgh037,2KPY31116K,20190801_20190831,acc,0,0,0,54310277,0
mgh037,2KPY31116K,20190801_20190831,eda,0,0,0,6731288,0
mgh037,2KPY31116K,20190801_20190831,temp,0,0,0,1682870,0
mgh038,2KPY31119R,20190801_20190831,acc,0,0,0,27314070,0
mgh038,2KPY31119R,20190801_20190831,eda,0,0,0,3421379,0
mgh038,2KPY31119R,20190801_20190831,temp,0,0,0,855380,0
mgh040,2KPY31117M,20190801_20190831,acc,0,0,0,1797360,0
mgh040,2KPY31117M,20190801_20190831,eda,0,0,0,223301,0
mgh040,2KPY31117M,20190801_20190831,temp,0,0,0,55830,0
mgh042,2KNY3111LM,20190801_20190831,acc,0,0,96,3165598,96
mgh042,2KNY3111LM,20190801_20190831,eda,0,0,0,395639,0
mgh042,2KNY3111LM,20190801_20190831,temp,0,0,0,98907,0
mgh043,2KPY31117J,20190801_20190831,acc,0,0,0,35985029,0
mgh043,2KPY31117J,20190801_20190831,eda,0,0,0,4478594,0
mgh043,2KPY31117J,20190801_20190831,temp,0,0,0,1119677,0
mgh044,2KPY31117G,20190801_20190831,acc,0,0,0,1468313,0
mgh044,2KPY31117G,20190801_20190831,eda,0,0,0,187031,0
mgh044,2KPY31117G,20190801_20190831,temp,0,0,0,46757,0
mgh046,2KNY3111XG,20190801_20190831,acc,0,0,0,49867377,0
mgh046,2KNY3111XG,20190801_20190831,eda,0,0,0,6227678,0
mgh046,2KNY3111XG,20190801_20190831,temp,0,0,0,1556933,0
mgh047,2KPY311194,20190801_20190831,acc,0,0,0,23083730,0
mgh047,2KPY311194,20190801_20190831,eda,0,0,0,2858284,0
mgh047,2KPY311194,20190801_20190831,temp,0,0,0,714595,0
mgh048,2KNY3111NN,20190801_20190831,acc,0,0,0,2021900,0
mgh048,2KNY3111NN,20190801_20190831,eda,0,0,0,255138,0
mgh048,2KNY3111NN,20190801_20190831,temp,0,0,0,63785,0
